size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
80,0.04520,0.00495,9.13
120,0.00009,0.00006,1.53
size,seq_time,par_time,speedup
